
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
5000	4062496.8165	2119296.3790	4422010.6349	1
1000	4058136.3048	2123546.5226	4423959.0832	0
1001	4058107.2869	2123518.4750	4423998.6004	0
1002	4057936.4850	2123560.3567	4424134.0774	0
1003	4058168.8822	2123637.2615	4423885.7593	0
